"INSEE","NOMCLAIR","CP","NOMSIMPLE","REGION","DEPARTEMENT","MEN","POP","MENarr","POParr"
"40257","Sainte-Eulalie-en-Born","40200","STE EULALIE EN BORN                   ",72,40,"532,194481494","1230,9536480357",532,1231
"40258","Sainte-Foy","40190","STE FOY                               ",72,40,108,276,108,276
"40259","Saint-Gein","40190","SAINT GEIN                               ",72,40,"181,2356979405","443,0205949657",181,443
"40260","Saint-Geours-d'Auribat","40380","SAINT GEOURS D AURIBAT                   ",72,40,"153,7555555556","382,3111111111",154,382
"40261","Saint-Geours-de-Maremne","40230","SAINT GEOURS DE MAREMNE                  ",72,40,"965,5286854005","2365,2651451833",966,2365
"40262","Saint-Gor","40120","SAINT GOR                                ",72,40,"120,864516129","308,4129032258",121,308
"40263","Saint-Jean-de-Lier","40380","SAINT JEAN DE LIER                       ",72,40,156,408,156,408
"40264","Saint-Jean-de-Marsacq","40230","SAINT JEAN DE MARSACQ                    ",72,40,536,1340,536,1340
"40265","Saint-Julien-d'Armagnac","40240","SAINT JULIEN D ARMAGNAC                  ",72,40,"49,3211009174","102,752293578",49,103
"40266","Saint-Julien-en-Born","40170","SAINT JULIEN EN BORN                     ",72,40,"714,6712716759","1546,5017682167",715,1547
"40267","Saint-Justin","40240","SAINT JUSTIN                             ",72,40,"434,4563599753","947,0172341035",434,947
"40268","Saint-Laurent-de-Gosse","40390","SAINT LAURENT DE GOSSE                   ",72,40,"225,6428571429","601,7142857143",226,602
"40269","Saint-Lon-les-Mines","40300","SAINT LON LES MINES                      ",72,40,460,1168,460,1168
"40270","Saint-Loubouer","40320","SAINT LOUBOUER                           ",72,40,"181,2442396313","418,8755760369",181,419
"40271","Sainte-Marie-de-Gosse","40390","STE MARIE DE GOSSE                    ",72,40,388,1072,388,1072
"40272","Saint-Martin-de-Hinx","40390","SAINT MARTIN DE HINX                     ",72,40,"552,9079042785","1343,8868745468",553,1344
"40273","Saint-Martin-de-Seignanx","40390","SAINT MARTIN DE SEIGNANX                 ",72,40,"1922,5720392082","4760,6545732775",1923,4761
"40274","Saint-Martin-d'Oney","40090","SAINT MARTIN D ONEY                      ",72,40,"527,5530850051","1331,2087191718",528,1331
